Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%,LifeGroup,Period,Strata
2002.0,Eswatini,Africa,Sub-Saharan Africa,17360.0,1050809.0,61.0935465116279,0.899822293950695,1432221784.41501,4.38009908790089,102.669,12.5025437700338,81.0378025324364,3.805,92945313.1719951,1520.0,1595224742.84168,94.7601907623838,39.2822319228053,8.91492825675004,44.486,138.526031484038,6.471204567,117.0,-7036.0,0.321764412171086,Low,2000-2007,Africa_Low_
2001.0,Puerto Rico,Americas,Latin America and the Caribbean,8870.0,3818774.0,430.52694475761,0.214145951376015,69208400000.0,6.3134715546886,69.008,0.587789921454621,67.7674964310691,1.9346,-38970347.771306455,10950.0,41824360366.674,42.1181532877512,48.3331503112339,5.50491102448902,76.456,38.54796372592666,42.48709139,39.16898299517278,-28052.0,0.156908970557385,High,2000-2007,Americas_High_
2004.0,Uzbekistan,Asia,Central Asia,444103.0,25864350.0,59.3419111489424,1.15376921505544,12030023547.8807,7.44900060514632,9.457,26.4440094608923,41.7898866324117,2.46,176599999.9,460.0,11867567569.6515,34.8057825625969,22.3056846912976,15.9182742726598,67.401,63.7737737541799,2.073953104,46.2,-38839.0,2.16397410749235,Low,2000-2007,Asia_Low_
2000.0,Lao PDR,Asia,South-eastern Asia,236800.0,5430853.0,23.5305589254766,1.68600720393729,1731198022.45494,5.79878232615873,100.814,33.6302510318403,30.6620036018333,4.4,33890000.0,280.0,1496698154.18458,38.1752977665039,16.4770694019208,24.7977766079289,58.378,49.9653990346743,0.233499231,107.3,-34009.0,6.27632532532244,Low,2000-2007,Asia_Low_
2003.0,Mexico,Americas,Latin America and the Caribbean,1964380.0,102429341.0,52.6913454564161,1.48740053113001,729335024013.225,1.4463826837036,72.673,3.38748649595129,24.3604406878698,2.579,18157929031.0,7410.0,759045222818.566,25.8452487673265,31.1910772712026,4.0394555694029,74.274,46.6774512112045,29.3838657,24.8,-332396.0,1.9071383624649,Medium,2000-2007,Americas_Medium_
2005.0,"Yemen, Rep.",Asia,Western Asia,527970.0,21320671.0,40.3823531640055,2.79308557038497,16746347681.0074,5.59174807563268,96.707,10.5523434439208,45.82551648156431,5.577,-302056736.757507,660.0,14159696035.621,64.47002378367614,49.0111393056135,18.4868803265131,65.543,65.6023642245263,10.68239832,73.1,-51360.0,4.69803152070819,Low,2000-2007,Asia_Low_
2008.0,Japan,Asia,Eastern Asia,377940.0,128063000.0,351.338820301783,0.0484253945978966,5106679413137.57,-1.22428900072828,5.122,1.05410176653648,17.2355433764071,1.37,24624845329.5648,39380.0,5043537351510.05,16.8939331648175,28.7829764402439,-0.911530288285164,82.5875609756098,30.2338540388497,86.1938134,3.4,158396.0,1.1282732314255,High,2008-2014,Asia_High_
2017.0,Estonia,Europe,Northern Europe,45340.0,1317384.0,30.816,0.121070631466687,26924385103.0662,5.79204467466494,9.813,2.38620546594402,75.8098540993405,1.59,1735775304.25103,18760.0,24718216209.0133,71.7538682971034,23.9988866145101,3.59036501479098,78.0926829268293,116.002649198637,144.5430113,2.7,5329.0,0.345466678877461,High,2015+,Europe_High_
2006.0,Puerto Rico,Americas,Latin America and the Caribbean,8870.0,3805214.0,428.998196166855,-0.423467205495354,87276164400.0,-1.40941402442895,59.118,0.590822137458644,68.8832975340974,1.7123,-38918242.51305353,15030.0,57180718713.4121,48.8451804602907,46.8599016480151,5.49286384229968,77.415,38.542142248368286,57.99316323,39.16385580909873,-33275.0,-0.482985004438138,High,2000-2007,Americas_High_
2018.0,Brazil,Americas,Latin America and the Caribbean,8515770.0,210166592.0,25.1451389902538,0.793768153848091,1916933708404.16,1.783666761634,53.436,4.42039930378329,14.6349994952986,1.749,78162724370.35,9140.0,1920049773488.66,14.241203879248,18.7490514539899,4.49353433137021,75.109,22.1567390743828,99.64002652,15.2,67934.0,1.09455847667219,High,2015+,Americas_High_
