,Feature,VIF
1,FertRate,6.465498120199121
6,UrbanPopGrowth%,5.989261881758399
7,PopGrowth%,5.670898560937821
0,MortRateU5,5.196509020207919
2,AdolFertRate,3.903552418600921
3,AgriValAdd%GDP,2.08365205911717
10,GDP,2.0445344359694024
9,FDINetBoP,1.9489918830632975
4,GNI/CapAtlas,1.8128229516298597
5,MobileSubs/100,1.7126738153701817
8,Exports%GDP,1.4675887737465227
11,PopDens,1.2259683404421842
