,0
MortRateU5,0.6581907498993566
FertRate,0.16205006197857252
GNI/CapAtlas,0.12169437877444485
AdolFertRate,0.06969119370436701
PopGrowth%,0.03560471343332319
MobileSubs/100,0.032938896701963344
Exports%GDP,0.028019298177646743
UrbanPopGrowth%,0.027042134227116682
GDP,0.023422345331145136
FDINetBoP,0.02274581497506295
PopDens,0.021834720425121662
AgriValAdd%GDP,0.015753733529928246
