Model,R2,RMSE,MAE,Phase
LinearRegression,0.8471176319284239,3.5050279452759447,2.509514932551363,Validation
SVR,0.8790978869263967,3.116949241729941,2.166127257270875,Validation
LinearRegression,0.8363913165144136,3.4811179692324443,2.4961029395213457,Test
SVR,0.8838525353869779,2.933056527626602,2.0563780249077315,Test
