Feature,Importance
MortRateU5,0.6581975584285615
FertRate,0.16205018398606508
GNI/CapAtlas,0.12169139329978033
AdolFertRate,0.06968921746986055
PopGrowth%,0.03560771923034496
MobileSubs/100,0.03293790458709546
Exports%GDP,0.02802057950287523
UrbanPopGrowth%,0.027042058388315984
GDP,0.02342234506903658
FDINetBoP,0.022745774496912827
PopDens,0.02183492654888261
AgriValAdd%GDP,0.01575340960691933
