Feature,VIF
FertRate,6.362319869647326
UrbanPopGrowth%,5.98823457440156
PopGrowth%,5.652653656719293
MortRateU5,4.9414206572347315
AdolFertRate,3.8861172753164124
AgriValAdd%GDP,2.081334161783083
GDP,2.0439146345129258
FDINetBoP,1.9473012524783058
GNI/CapAtlas,1.812663215336668
MobileSubs/100,1.6230364551670544
Exports%GDP,1.3999743364509787
